FINANCIAL_YEAR,COMPANY,BTERMSTEMPLATES,BILL_NO.,BILL_DATE,MONTH,YEAR,SRLNO,accd,CONTROL_ACCOUNT,CUSTOMER,COUNTRY,STATE,CITY,CONSIGNEE,itemcd,ITEM,QUANTITY,RATE,VALUE,LOCATIONNAME,personcd,SALESMAN,MAIN_GROUP,SUB_GROUP,ITEM_GROUP,locationcode
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,EXEMPT SALE - SEZ (GST NIL),AET/01577/20-21,20-Jul-20,July,2020,1,5326,SUNDRY DEBTORS - DOMESTIC,SCHMETZ INDIA PVT. LTD,INDIA,GUJARAT,GANDHIDHAM,SCHMETZ INDIA PVT. LTD,4696,SUPERSTAR MAINTENANCE SALT : 50 KGS DRUM,500,321.6,160800,ARTEK EXPORTS - TARAPUR,321,MUMBAI - DIRECT ,FINISHED GOODS,CHROME PLATING,CHROME SALTS,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,EXEMPT SALE - SEZ (GST NIL),AET/01912/20-21,30-Jul-20,July,2020,2,12920,SUNDRY DEBTORS - DOMESTIC,KNITPRO INTERNATIONAL,INDIA,RAJASTHAN,JAIPUR,KNITPRO INTERNATIONAL,3040,ALUMAX BUFFER DS : 30 LTR CARBOYS,120,56,6720,ARTEK EXPORTS - TARAPUR,335,DELHI - AREA ,FINISHED GOODS,ANODISING,ANODIZING OTHERS,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,EXEMPT SALE - SEZ (GST NIL),AET/00523/20-21,13-Jun-20,June,2020,3,18848,SUNDRY DEBTORS - DOMESTIC,UNIPARTS INDIA LIMITED (V.CODE SUP004239),INDIA,ANDHRA PRADESH,VISAKHAPATNAM,UNIPARTS INDIA LIMITED (V.CODE SUP004239),5142,SURFOLIN NC 924 U : 30 KGS BAG,450,99.02,44559,ARTEK EXPORTS - TARAPUR,335,DELHI - AREA ,FINISHED GOODS,CLEANERS,CLEANERS OTHERS,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,EXEMPT SALE - SEZ (GST NIL),AET/00976/20-21,30-Jun-20,June,2020,1,12920,SUNDRY DEBTORS - DOMESTIC,KNITPRO INTERNATIONAL,INDIA,RAJASTHAN,JAIPUR,KNITPRO INTERNATIONAL,52214,ALUDINE RED 25 RC : 1 KGS BOTTLE,5,2387,11935,ARTEK EXPORTS - TARAPUR,335,DELHI - AREA ,FINISHED GOODS,ANODISING,ANODIZING DYES,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,EXEMPT SALE - SEZ (GST NIL),AET/01335/20-21,12-Jul-20,July,2020,1,18917,SUNDRY DEBTORS - DOMESTIC,GRIPWELL FASTNERS PVT. LTD. (V.CODE SUP004239),INDIA,UTTAR PRADESH,NOIDA,GRIPWELL FASTNERS PVT. LTD. (V.CODE SUP004239),4981,SURFOLIN 381 US : 30 KGS BAG,300,130,39000,ARTEK EXPORTS - TARAPUR,335,DELHI - AREA ,FINISHED GOODS,CLEANERS,CLEANERS OTHERS,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,EXEMPT SALE - SEZ (GST NIL),AET/02242/20-21,8-Aug-20,August,2020,4,20850,SUNDRY DEBTORS - DOMESTIC,PATTON INTERNATIONAL LIMITED (SUP-A147),INDIA,WEST BENGAL,SOUTH 24 PARGANAS,PATTON INTERNATIONAL LIMITED (SUP-A147),23259,KEMPAS BZ 171 A : 5 LTR BOTTLE,30,210,6300,ARTEK EXPORTS - TARAPUR,299,CALCUTTA - AREA ,FINISHED GOODS,PASSIVATION,PASSIVATION TRIVALENT,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,EXEMPT SALE - SEZ (GST NIL),AET/02242/20-21,8-Aug-20,August,2020,7,20850,SUNDRY DEBTORS - DOMESTIC,PATTON INTERNATIONAL LIMITED (SUP-A147),INDIA,WEST BENGAL,SOUTH 24 PARGANAS,PATTON INTERNATIONAL LIMITED (SUP-A147),33227,KEMPAS BL 3100 : 4 LTR BOTTLE,32,147,4704,ARTEK EXPORTS - TARAPUR,299,CALCUTTA - AREA ,FINISHED GOODS,PASSIVATION,PASSIVATION TRIVALENT,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,EXEMPT SALE - SEZ (GST NIL),AET/02265/20-21,10-Aug-20,August,2020,2,18917,SUNDRY DEBTORS - DOMESTIC,GRIPWELL FASTNERS PVT. LTD. (V.CODE SUP004239),INDIA,UTTAR PRADESH,NOIDA,GRIPWELL FASTNERS PVT. LTD. (V.CODE SUP004239),26506,SURFOLIN EL 80 MS U : 30 KGS BAG,150,80,12000,ARTEK EXPORTS - TARAPUR,335,DELHI - AREA ,FINISHED GOODS,CLEANERS,CLEANERS ELECTROLYTIC,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,EXEMPT SALE - SEZ (GST NIL),AET/02265/20-21,10-Aug-20,August,2020,3,18917,SUNDRY DEBTORS - DOMESTIC,GRIPWELL FASTNERS PVT. LTD. (V.CODE SUP004239),INDIA,UTTAR PRADESH,NOIDA,GRIPWELL FASTNERS PVT. LTD. (V.CODE SUP004239),19817,TEKNOBRITE AZ 1098 RU : 30 LTR CARBOYS,150,149.68,22452,ARTEK EXPORTS - TARAPUR,335,DELHI - AREA ,FINISHED GOODS,CHLORIDE ZINC PLATING,AZ BRIGHTNERS R,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,EXEMPT SALE - SEZ (GST NIL),AET/00332/20-21,5-Jun-20,June,2020,2,20850,SUNDRY DEBTORS - DOMESTIC,PATTON INTERNATIONAL LIMITED (SUP-A147),INDIA,WEST BENGAL,SOUTH 24 PARGANAS,PATTON INTERNATIONAL LIMITED (SUP-A147),49430,TEKNOBRITE AZ 3048 M (PT) : 100 LTR DRUM,1200,80,96000,ARTEK EXPORTS - TARAPUR,299,CALCUTTA - AREA ,FINISHED GOODS,CHLORIDE ZINC PLATING,AZ ADDITIVE M,39
